siparis_id,musteri_id,siparis_tarihi,sehir,bolge,kategori,urun_adi,adet,birim_fiyat,indirim_orani,kargo_ucreti,odeme_turu,musteri_tipi,teslimat_gunu,musteri_puani,iade_durumu,kar_marji_orani,toplam_tutar
SIP101125,MUS1391,2024-01-13 17:06:00,İstanbul,Marmara,Kozmetik,Nemlendirici,1,414.51,0.05,49.9,Kredi Kartı,Yeni,3.0,5.0,Hayır,0.22,443.68
SIP100837,MUS1347,2025-03-17 21:13:00,Gaziantep,Güneydoğu Anadolu,Spor,Dambıl Seti,2,1475.15,0.1,29.9,Banka Kartı,VIP,4.0,1.0,Hayır,0.361,2685.17
SIP100050,MUS1066,2025-06-03 12:42:00,Kayseri,İç Anadolu,Kitap,İş Analitiği Rehberi,1,289.02,0.05,29.9,Kredi Kartı,Mevcut,6.0,2.0,Hayır,0.348,304.47
SIP100263,MUS1008,2024-08-10 15:13:00,Antalya,Akdeniz,Kitap,Girişimcilik,5,194.78,0.0,49.9,Kapıda Ödeme,Yeni,3.0,5.0,Hayır,0.25,1023.8
SIP100707,MUS1291,2024-08-19 08:24:00,Gaziantep,Güneydoğu Anadolu,Elektronik,Powerbank,3,841.8,0.05,39.9,Dijital Cüzdan,Mevcut,4.0,5.0,Hayır,0.28,2439.03
SIP100687,MUS1147,2025-08-09 08:42:00,Konya,İç Anadolu,Kozmetik,Nemlendirici,2,417.02,0.0,59.9,Dijital Cüzdan,Mevcut,4.0,5.0,Hayır,0.22,893.94
SIP101351,MUS1011,2025-02-27 11:35:00,İstanbul,Marmara,Ofis,Mouse Pad,3,169.47,0.05,29.9,Havale/EFT,VIP,3.0,2.0,Evet,0.382,512.89
SIP101172,MUS1357,2024-07-22 13:26:00,Ankara,İç Anadolu,Ofis,Mekanik Klavye,3,2344.47,0.0,59.9,Kredi Kartı,Mevcut,3.0,4.0,Hayır,0.312,7093.31
SIP100779,MUS1354,2025-12-05 11:19:00,İstanbul,Marmara,Kitap,Python Notları,4,219.14,0.0,29.9,Kredi Kartı,Yeni,18.0,5.0,Evet,0.408,906.46
SIP100202,MUS1067,2024-05-11 22:53:00,Bursa,Marmara,Kozmetik,Güneş Kremi,2,424.4,0.0,29.9,Havale/EFT,Mevcut,3.0,1.0,Hayır,0.212,878.7
SIP100254,MUS1447,2024-07-30 09:06:00,Konya,İç Anadolu,Elektronik,Bluetooth Hoparlör,1,1327.75,0.05,29.9,Banka Kartı,Mevcut,4.0,5.0,Hayır,0.283,1291.26
SIP100120,MUS1403,2024-04-02 22:18:00,Antalya,Akdeniz,Kitap,Python Notları,3,216.44,0.0,0.0,Kredi Kartı,Mevcut,4.0,5.0,Hayır,0.189,649.32
