siparis_id,musteri_id,siparis_tarihi,sehir,bolge,kategori,urun_adi,adet,birim_fiyat,indirim_orani,kargo_ucreti,odeme_turu,musteri_tipi,teslimat_gunu,musteri_puani,iade_durumu,kar_marji_orani,toplam_tutar,siparis_yili,siparis_ayi,siparis_gunu,haftanin_gunu
SIP101125,MUS1391,2024-01-13 17:06:00,İstanbul,Marmara,Kozmetik,Nemlendirici,1,414.51,0.05,49.9,Kredi Kartı,Yeni,3.0,5.0,Hayır,0.22,443.68,2024,1,13,Saturday
SIP100263,MUS1008,2024-08-10 15:13:00,Antalya,Akdeniz,Kitap,Girişimcilik,5,194.78,0.0,49.9,Kapıda Ödeme,Yeni,3.0,5.0,Hayır,0.25,1023.8,2024,8,10,Saturday
SIP100707,MUS1291,2024-08-19 08:24:00,Gaziantep,Güneydoğu Anadolu,Elektronik,Powerbank,3,841.8,0.05,39.9,Dijital Cüzdan,Mevcut,4.0,5.0,Hayır,0.28,2439.03,2024,8,19,Monday
SIP100687,MUS1147,2025-08-09 08:42:00,Konya,İç Anadolu,Kozmetik,Nemlendirici,2,417.02,0.0,59.9,Dijital Cüzdan,Mevcut,4.0,5.0,Hayır,0.22,893.94,2025,8,9,Saturday
SIP100254,MUS1447,2024-07-30 09:06:00,Konya,İç Anadolu,Elektronik,Bluetooth Hoparlör,1,1327.75,0.05,29.9,Banka Kartı,Mevcut,4.0,5.0,Hayır,0.283,1291.26,2024,7,30,Tuesday
SIP100120,MUS1403,2024-04-02 22:18:00,Antalya,Akdeniz,Kitap,Python Notları,3,216.44,0.0,0.0,Kredi Kartı,Mevcut,4.0,5.0,Hayır,0.189,649.32,2024,4,2,Tuesday
SIP101013,MUS1390,2025-01-21 10:30:00,İstanbul,Marmara,Ofis,Not Tutucu,1,129.01,0.0,39.9,Kredi Kartı,Mevcut,4.0,5.0,Hayır,0.242,168.91,2025,1,21,Tuesday
SIP100308,MUS1317,2025-02-01 17:25:00,Trabzon,Karadeniz,Ofis,Kalem Seti,4,98.2,0.0,49.9,Banka Kartı,Yeni,2.0,5.0,Hayır,0.325,496.11,2025,2,1,Saturday
SIP101295,MUS1404,2024-08-24 12:47:00,İstanbul,Marmara,Ev Yaşam,Organizer,1,251.11,0.2,29.9,Banka Kartı,Yeni,6.0,4.0,Hayır,0.339,230.79,2024,8,24,Saturday
SIP101066,MUS1436,2024-02-10 10:36:00,Antalya,Akdeniz,Ofis,Defter Seti,1,144.65,0.15,39.9,Kredi Kartı,Yeni,5.0,5.0,Hayır,0.35,162.85,2024,2,10,Saturday
SIP100320,MUS1211,2025-06-10 22:43:00,Ankara,İç Anadolu,Kozmetik,Güneş Kremi,1,461.1,0.1,29.9,Kapıda Ödeme,Yeni,3.0,5.0,Hayır,0.249,444.89,2025,6,10,Tuesday
SIP100161,MUS1379,2025-09-21 17:32:00,Mersin,Akdeniz,Elektronik,Kablosuz Kulaklık,2,1537.72,0.15,59.9,Kredi Kartı,Mevcut,1.0,5.0,Hayır,0.399,2674.02,2025,9,21,Sunday
SIP101363,MUS1248,2025-07-12 15:20:00,Adana,Akdeniz,Kozmetik,Şampuan,1,194.37,0.0,49.9,Dijital Cüzdan,Yeni,4.0,3.0,Hayır,0.404,244.27,2025,7,12,Saturday
SIP100391,MUS1402,2024-06-23 18:18:00,İstanbul,Marmara,Elektronik,Bluetooth Hoparlör,1,1232.33,0.0,39.9,Dijital Cüzdan,Mevcut,6.0,5.0,Hayır,0.241,1272.23,2024,6,23,Sunday
SIP100993,MUS1226,2025-02-04 10:04:00,İstanbul,Marmara,Elektronik,Powerbank,1,815.53,0.0,39.9,Banka Kartı,Yeni,4.0,3.0,Hayır,0.203,855.43,2025,2,4,Tuesday
SIP100686,MUS1032,2025-12-12 22:38:00,Ankara,İç Anadolu,Ev Yaşam,Termos,1,504.31,0.2,39.9,Havale/EFT,Mevcut,2.0,4.0,Hayır,0.265,443.35,2025,12,12,Friday
SIP100797,MUS1231,2024-01-19 20:02:00,Antalya,Akdeniz,Kozmetik,Serum,2,487.32,0.05,0.0,Dijital Cüzdan,VIP,4.0,5.0,Hayır,0.239,925.91,2024,1,19,Friday
SIP100352,MUS1101,2024-09-05 15:23:00,Kocaeli,Marmara,Kitap,Girişimcilik,1,208.21,0.2,29.9,Banka Kartı,Mevcut,4.0,4.0,Hayır,0.324,196.47,2024,9,5,Thursday
SIP100989,MUS1328,2025-04-06 10:16:00,Bursa,Marmara,Ofis,Not Tutucu,1,130.83,0.0,39.9,Kredi Kartı,Yeni,3.0,4.0,Evet,0.39,170.73,2025,4,6,Sunday
SIP100043,MUS1056,2025-11-16 21:47:00,İstanbul,Marmara,Ofis,Not Tutucu,5,135.47,0.0,29.9,Kapıda Ödeme,Yeni,3.0,4.0,Hayır,0.383,707.25,2025,11,16,Sunday
SIP100033,MUS1289,2025-04-13 13:59:00,İstanbul,Marmara,Kitap,İş Analitiği Rehberi,2,295.27,0.05,49.9,Havale/EFT,Yeni,4.0,4.0,Hayır,0.27,610.91,2025,4,13,Sunday
SIP101126,MUS1406,2024-09-11 20:05:00,Mersin,Akdeniz,Elektronik,Bluetooth Hoparlör,1,1159.89,0.1,39.9,Kredi Kartı,Mevcut,2.0,4.0,Hayır,0.204,1083.8,2024,9,11,Wednesday
SIP100645,MUS1131,2025-07-27 20:40:00,İzmir,Ege,Ofis,Mouse Pad,1,192.44,0.05,49.9,Kredi Kartı,Mevcut,4.0,5.0,Hayır,0.304,232.72,2025,7,27,Sunday
SIP100886,MUS1117,2025-10-06 18:15:00,İzmir,Ege,Spor,Suluk,1,204.54,0.15,39.9,Kredi Kartı,Mevcut,4.0,5.0,Hayır,0.297,213.76,2025,10,6,Monday
SIP100503,MUS1090,2025-10-10 21:17:00,Ankara,İç Anadolu,Kitap,Girişimcilik,2,186.43,0.05,29.9,Kapıda Ödeme,Yeni,6.0,5.0,Hayır,0.361,384.12,2025,10,10,Friday
SIP101179,MUS1172,2025-02-24 13:22:00,Konya,İç Anadolu,Spor,Direnç Bandı,1,267.18,0.0,29.9,Kapıda Ödeme,Mevcut,3.0,3.0,Hayır,0.298,297.08,2025,2,24,Monday
SIP101334,MUS1433,2024-05-09 21:29:00,İzmir,Ege,Spor,Spor Çantası,2,859.57,0.0,29.9,Kredi Kartı,Yeni,2.0,4.0,Hayır,0.355,1749.04,2024,5,9,Thursday
SIP100725,MUS1146,2025-05-24 10:10:00,Kocaeli,Marmara,Kitap,Zaman Yönetimi,2,154.18,0.05,49.9,Banka Kartı,Yeni,3.0,5.0,Hayır,0.385,342.84,2025,5,24,Saturday
SIP100533,MUS1128,2024-11-19 14:22:00,Trabzon,Karadeniz,Kitap,Python Notları,2,225.82,0.0,39.9,Kredi Kartı,Yeni,4.0,5.0,Hayır,0.234,491.54,2024,11,19,Tuesday
SIP100479,MUS1099,2025-06-10 20:32:00,İstanbul,Marmara,Kozmetik,Güneş Kremi,3,455.19,0.0,49.9,Kredi Kartı,Yeni,1.0,5.0,Hayır,0.2,1415.47,2025,6,10,Tuesday
SIP100513,MUS1450,2024-06-02 17:06:00,Kayseri,İç Anadolu,Kozmetik,Şampuan,2,198.17,0.0,49.9,Kredi Kartı,VIP,4.0,5.0,Hayır,0.216,446.24,2024,6,2,Sunday
SIP101300,MUS1030,2025-09-28 14:55:00,Antalya,Akdeniz,Elektronik,Webcam,3,892.29,0.05,49.9,Kredi Kartı,Mevcut,3.0,5.0,Hayır,0.388,2592.93,2025,9,28,Sunday
SIP100387,MUS1221,2024-04-05 13:38:00,İstanbul,Marmara,Elektronik,Powerbank,2,780.72,0.0,39.9,Dijital Cüzdan,VIP,2.0,5.0,Hayır,0.328,1601.34,2024,4,5,Friday
SIP100283,MUS1339,2024-08-21 13:35:00,Konya,İç Anadolu,Spor,Direnç Bandı,1,259.29,0.0,29.9,Dijital Cüzdan,Mevcut,1.0,5.0,Hayır,0.337,289.19,2024,8,21,Wednesday
SIP100234,MUS1204,2025-03-03 22:53:00,Gaziantep,Güneydoğu Anadolu,Elektronik,Bluetooth Hoparlör,1,1220.47,0.05,49.9,Kredi Kartı,VIP,2.0,3.0,Hayır,0.267,1209.35,2025,3,3,Monday
SIP101294,MUS1144,2024-04-16 08:22:00,Ankara,İç Anadolu,Kozmetik,Serum,1,577.75,0.2,39.9,Dijital Cüzdan,Mevcut,2.0,5.0,Hayır,0.269,502.1,2024,4,16,Tuesday
SIP100147,MUS1190,2024-04-03 19:33:00,İstanbul,Marmara,Kitap,Veri Bilimi 101,1,248.03,0.0,59.9,Kredi Kartı,Mevcut,4.0,3.0,Hayır,0.388,307.93,2024,4,3,Wednesday
SIP100258,MUS1403,2025-07-23 15:03:00,Eskişehir,İç Anadolu,Kitap,Zaman Yönetimi,3,169.39,0.0,59.9,Dijital Cüzdan,VIP,3.0,4.0,Hayır,0.415,568.07,2025,7,23,Wednesday
